"abbr","full_name"
"ISU","Iowa State"
"UNLV","UNLV"
"KU","Kansas"
"WKU","Western Kentucky"
"HAW","Hawai'i"
"USF","South Florida"
"RUTG","Rutgers"
"BGSU","Bowling Green"
"NCSU","NC State"
"UCF","UCF"
"DEL","Delaware"
"ULM","UL Monroe"
"WYO","Wyoming"
"MIZ","Missouri"
"DUKE","Duke"
"OKST","Oklahoma State"
"MINN","Minnesota"
"HOU","Houston"
"UAB","UAB"
"NEB","Nebraska"
"WIS","Wisconsin"
"SDSU","San Diego State"
"ILL","Illinois"
"TAR","Tarleton State"
"MSU","Michigan State"
"WAKE","Wake Forest"
"APP","App State"
"AUB","Auburn"
"GT","Georgia Tech"
"FIU","Florida International"
"CMU","Central Michigan"
"OSU","Ohio State"
"PSU","Penn State"
"LSU","LSU"
"UGA","Georgia"
"ORE","Oregon"
"FSU","Florida State"
"ASU","Arizona State"
"MICH","Michigan"
"FLA","Florida"
"SMU","SMU"
"KSU","Kansas State"
"OU","Oklahoma"
"TA&M","Texas A&M"
"IU","Indiana"
"MISS","Ole Miss"
"TTU","Texas Tech"
"TENN","Tennessee"
"MSST","Mississippi State"
"MD","Maryland"
"PUR","Purdue"
"TULN","Tulane"
"PITT","Pittsburgh"
"NAVY","Navy"
"KENT","Kent State"
"UK","Kentucky"
"BC","Boston College"
"WVU","West Virginia"
"CONN","UConn"
"LOU","Louisville"
"AFA","Air Force"
"TEM","Temple"
"NIU","Northern Illinois"
"LIB","Liberty"
"ARK","Arkansas"
"MEM","Memphis"
"IOWA","Iowa"
"UVA","Virginia"
"JMU","James Madison"
"VAN","Vanderbilt"
"APSU","Austin Peay"
"ARST","Arkansas State"
"USA","South Alabama"
"TROY","Troy"
"USC","USC"
"LT","Louisiana Tech"
"USU","Utah State"
"BYU","BYU"
"RICE","Rice"
"TXST","Texas State"
"UNT","North Texas"
"TLSA","Tulsa"
"NMSU","New Mexico State"
"FRES","Fresno State"
"WSU","Washington State"
"CAL","California"
"ARIZ","Arizona"
"UTAH","Utah"
"WASH","Washington"
"MIA","Miami"
"SC","South Carolina"
"TCU","TCU"
"IDST","Idaho State"
"SHSU","Sam Houston"
"STAN","Stanford"
"BOIS","Boise State"
"OHIO","Ohio"
"LAF","Lafayette"
"ECU","East Carolina"
"JVST","Jacksonville State"
"DSU","Delaware State"
"SFPA","Saint Francis"
"AKR","Akron"
"CARK","Central Arkansas"
"ELON","Elon"
"UTM","UT Martin"
"BUFF","Buffalo"
"SFA","Stephen F. Austin"
"ALST","Alabama State"
"CIN","Cincinnati"
"M-OH","Miami (OH)"
"STBK","Stony Brook"
"WIU","Western Illinois"
"ARMY","Army"
"WMU","Western Michigan"
"KENN","Kennesaw State"
"CLT","Charlotte"
"WAG","Wagner"
"BAY","Baylor"
"COLO","Colorado"
"BCU","Bethune-Cookman"
"SJSU","San José State"
"TEX","Texas"
"NEV","Nevada"
"CLEM","Clemson"
"MRSH","Marshall"
"MTST","Montana State"
"ALA","Alabama"
"NAU","Northern Arizona"
"UNM","New Mexico"
"LIU","Long Island University"
"ETAM","East Texas A&M"
"UND","North Dakota"
"ILST","Illinois State"
"UTSA","UTSA"
"ODU","Old Dominion"
"GAST","Georgia State"
"SDAK","South Dakota"
"UAPB","Arkansas-Pine Bluff"
"SYR","Syracuse"
"USM","Southern Miss"
"FAU","Florida Atlantic"
"BALL","Ball State"
"NU","Northwestern"
"DUQ","Duquesne"
"VMI","VMI"
"MRMK","Merrimack"
"TOL","Toledo"
"FOR","Fordham"
"RMU","Robert Morris"
"CCSU","Central Connecticut"
"EKU","Eastern Kentucky"
"BUCK","Bucknell"
"MASS","Massachusetts"
"HC","Holy Cross"
"ME","Maine"
"AAMU","Alabama A&M"
"UTC","Chattanooga"
"ALB","UAlbany"
"CCU","Coastal Carolina"
"WEB","Weber State"
"CHSO","Charleston Southern"
"MTSU","Middle Tennessee"
"UNA","North Alabama"
"SEMO","Southeast Missouri State"
"MORG","Morgan State"
"NICH","Nicholls"
"MOST","Missouri State"
"SELA","SE Louisiana"
"UTEP","UTEP"
"PRST","Portland State"
"UL","Louisiana"
"EMU","Eastern Michigan"
"LAM","Lamar"
"ACU","Abilene Christian"
"BRY","Bryant"
"GASO","Georgia Southern"
"IDHO","Idaho"
"ORST","Oregon State"
"UCLA","UCLA"
"CSU","Colorado State"
"ND","Notre Dame"
"VT","Virginia Tech"
"UNC","North Carolina"
"EWU","Eastern Washington"
"GRAM","Grambling"
"SCST","South Carolina State"
"ETSU","East Tennessee State"
"CP","Cal Poly"
"NWST","Northwestern State"
"HOW","Howard"
"GWEB","Gardner-Webb"
"LIN","Lindenwood"
"UNI","Northern Iowa"
"WCU","Western Carolina"
"SAC","Sacramento State"
"JKST","Jackson State"
"TXSO","Texas Southern"
"NCCU","North Carolina Central"
"CAM","Campbell"
"FAMU","Florida A&M"
"NCAT","North Carolina A&T"
"UNCO","Northern Colorado"
"SIU","Southern Illinois"
"MCN","McNeese"
"UCD","UC Davis"
"INST","Indiana State"
"COLG","Colgate"
"VILL","Villanova"
"HCU","Houston Christian"
"TOW","Towson"
"W&M","William & Mary"
"SAM","Samford"
"UNH","New Hampshire"
"NORF","Norfolk State"
"YSU","Youngstown State"
"RICH","Richmond"
"UIW","Incarnate Word"
"ALCN","Alcorn State"
"MONM","Monmouth"
"MUR","Murray State"
"PV","Prairie View A&M"
"SOU","Southern"
"WOF","Wofford"
"URI","Rhode Island"
"CIT","The Citadel"
"TNTC","Tennessee Tech"
"EIU","Eastern Illinois"
"MER","Mercer"
"FUR","Furman"
