"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","FormattedSpread","LineProvider","OverUnder","Spread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401752920","Rutgers","36","Penn State","40","Penn State -14","DraftKings","55.5","14","11.5","","440","-600"
"401838053","Arkansas State","34","Missouri State","28","Arkansas State -1.5","DraftKings","55.5","-1.5","","","-125","105"
"401778326","Illinois","30","Tennessee","28","Tennessee -3","DraftKings","62.5","3","5.5","61.5","120","-142"
"401778314","Minnesota","20","New Mexico","17","Minnesota -1.5","DraftKings","44.5","-1.5","","47.5","-125","105"
"401778325","Louisiana Tech","23","Coastal Carolina","14","Louisiana Tech -10","DraftKings","51.5","-10","","","-375","295"
"401752889","Ohio State","38","Penn State","14","Ohio State -17.5","DraftKings","45.5","-17.5","-4","","-1050","675"
"401757308","Middle Tennessee","31","Sam Houston","17","Middle Tennessee -6.5","DraftKings","53.5","-6.5","-4.5","","-245","200"
"401757309","UTEP","31","New Mexico State","34","UTEP -4","DraftKings","44.5","-4","-2.5","","-192","160"
"401762511","UAB","18","South Florida","48","South Florida -21.5","DraftKings","68.5","21.5","21.5","","1000","-1800"
"401754600","North Carolina","25","Duke","32","Duke -7","DraftKings","50.5","7","-1.5","","205","-250"
"401754604","Notre Dame","70","Syracuse","7","Notre Dame -36.5","DraftKings","51.5","-36.5","-34.5","","",""
"401757305","Florida International","27","Jacksonville State","21","Florida International -2.5","DraftKings","55.5","-2.5","1.5","","-125","105"
"401761658","South Alabama","42","Southern Miss","35","Southern Miss -2.5","DraftKings","53.5","2.5","3","","110","-130"
"401769073","Georgia","34","Ole Miss","39","Georgia -6","DraftKings","53.5","-6","","","-218","180"
"401769075","Ole Miss","27","Miami","31","Miami -3","DraftKings","52.5","3","","","142","-170"
"401769071","Texas Tech","0","Oregon","23","Texas Tech -1.5","DraftKings","50.5","-1.5","","52.5","-115","-105"
"401769070","Ohio State","14","Miami","24","Ohio State -7.5","DraftKings","39.5","-7.5","-10","","-325","260"
"401778323","Houston","38","LSU","35","Houston -1.5","DraftKings","43.5","-1.5","","","-110","-110"
"401778319","BYU","25","Georgia Tech","21","BYU -3.5","DraftKings","54.5","-3.5","","56.5","-170","142"
"401778327","TCU","30","USC","27","USC -4.5","DraftKings","56.5","4.5","","","164","-198"
"401778322","Missouri","7","Virginia","13","Missouri -4","DraftKings","43.5","-4","","","-185","154"
"401769076","Indiana","27","Miami","21","Indiana -7.5","DraftKings","46.5","-7.5","","","-305","245"
"401752845","Wisconsin","10","Maryland","27","Wisconsin -10.5","DraftKings","44.5","-10.5","-7.5","","-410","320"
"401754552","North Carolina","10","Clemson","38","Clemson -15.5","DraftKings","47.5","15.5","13.5","","470","-650"
"401752868","USC","31","Michigan","13","USC -3","DraftKings","58.5","-3","1.5","","-166","140"
"401754574","Pittsburgh","53","NC State","34","Pittsburgh -4.5","DraftKings","52.5","-4.5","-7.5","","-205","170"
"401752891","Illinois","35","Rutgers","13","Illinois -13.5","DraftKings","63.5","-13.5","-10.5","","-500","380"
"401752890","Michigan","21","Purdue","16","Michigan -21","DraftKings","48.5","-21","-20.5","","-1800","1000"
"401756946","UCF","27","Houston","30","UCF -1.5","DraftKings","47.5","-1.5","2.5","","-118","-102"
"401756964","Kansas","21","Utah","31","Utah -10","DraftKings","60.5","10","13.5","","330","-425"
"401756961","Arizona State","7","Arizona","23","Arizona -1.5","DraftKings","48.5","1.5","1.5","","102","-122"
"401761616","UL Monroe","28","Arkansas State","16","UL Monroe -1.5","DraftKings","55.5","-1.5","-1.5","","-115","-105"
"401761618","Georgia State","7","James Madison","14","James Madison -19.5","DraftKings","52.5","19.5","17.5","","800","-1350"
"401761625","James Madison","24","Louisiana","14","James Madison -18.5","DraftKings","44.5","-18.5","-17.5","","-1050","675"
"401761644","App State","23","Georgia Southern","25","App State -4.5","DraftKings","62.5","-4.5","-5.5","","-198","164"
"401762500","South Florida","55","UTSA","23","South Florida -14","DraftKings","66.5","-14","-12.5","","-600","440"
"401756846","Kansas State","21","Iowa State","24","Kansas State -3.5","DraftKings","49.5","-3.5","-3.5","49.5","-162","136"
"401760374","Hawai'i","21","Fresno State","23","Fresno State -2.5","DraftKings","47.5","2.5","3.5","","110","-130"
"401760388","Colorado State","49","Fresno State","21","Fresno State -5.5","DraftKings","47.5","5.5","7","","170","-205"
"401760402","Boise State","7","Fresno State","30","Boise State -17.5","DraftKings","47.5","-17.5","-17.5","","-1000","650"
"401756943","Arizona","24","Kansas","20","Arizona -5.5","DraftKings","56.5","-5.5","-3.5","","-218","180"
"401760423","San José State","14","Fresno State","41","Fresno State -3","DraftKings","45.5","3","2.5","","136","-162"
"401756847","Kansas","31","Fresno State","7","Kansas -14","DraftKings","51.5","-14","-14","51.5","-550","410"
"401762789","Akron","0","Wyoming","10","Wyoming -8.5","DraftKings","49.5","8.5","8.5","49.5","260","-325"
"401752802","Michigan State","23","Western Michigan","6","Michigan State -18.5","DraftKings","49.5","-18.5","-18.5","49.5","-950","625"
"401757224","Sam Houston","21","UNLV","38","UNLV -13.5","DraftKings","58.5","13.5","13.5","58.5","380","-500"
"401757218","Western Kentucky","41","Sam Houston","24","Western Kentucky -9.5","DraftKings","60.5","-9.5","-9.5","60.5","-360","285"
"401756849","Arizona","40","Hawai'i","6","Arizona -13.5","DraftKings","55.5","-13.5","-13.5","55.5","-550","410"
"401754539","Virginia","48","Stanford","20","Virginia -16.5","DraftKings","48.5","-16.5","-14.5","","-750","525"
"401752723","Texas","55","Sam Houston","0","Texas -39.5","DraftKings","51.5","-39.5","-40.5","","",""
"401760378","Air Force","35","Hawai'i","44","Air Force -7","DraftKings","52.5","-7","-5.5","","-278","225"
"401752875","Iowa","25","Penn State","24","Iowa -3","DraftKings","41.5","-3","-1.5","","-162","136"
"401752944","Oregon State","17","Sam Houston","21","Oregon State -21","DraftKings","52.5","-21","-17.5","","-1450","850"
"401752884","Purdue","24","Rutgers","27","Purdue -2.5","DraftKings","60.5","-2.5","2.5","","-142","120"
"401760392","Air Force","24","Wyoming","21","Air Force -4","DraftKings","56.5","-4","-6","","-180","150"
"401752855","UCLA","42","Penn State","37","Penn State -24.5","DraftKings","48.5","24.5","27.5","","1200","-2400"
"401757291","Missouri State","28","Florida International","21","Missouri State -3","DraftKings","49.5","-3","-2.5","","-148","124"
"401752673","Southern Miss","17","Mississippi State","34","Mississippi State -11.5","DraftKings","59.5","11.5","11.5","59.5","340","-440"
"401754523","North Carolina","14","TCU","48","TCU -3","DraftKings","59.5","3","3","59.5","130","-155"
"401752835","Penn State","52","Villanova","6","Penn State -46.5","DraftKings","57.5","-46.5","-47.5","","",""
"401761605","Georgia State","37","Murray State","21","Georgia State -31.5","DraftKings","63.5","-31.5","","","-10000","3000"
"401760368","Utah State","49","Air Force","30","Air Force -4","DraftKings","51.5","4","","","154","-185"
"401752709","Miami","26","Florida","7","Miami -8.5","DraftKings","51.5","-8.5","-3.5","","-340","270"
"401754640","UCF","34","North Carolina","9","UCF -7","DraftKings","46.5","-7","-3.5","","-245","200"
"401760373","Colorado State","16","UTSA","17","UTSA -4.5","DraftKings","58.5","4.5","4.5","","180","-218"
"401757260","Jacksonville State","45","Murray State","10","Jacksonville State -35.5","DraftKings","60.5","-35.5","-35.5","","",""
"401756907","Oklahoma State","27","Baylor","45","Baylor -21","DraftKings","58.5","21","17.5","","850","-1450"
"401757170","Buffalo","17","UConn","20","UConn -3","DraftKings","51.5","3","2.5","","130","-155"
"401757269","Southern Miss","42","Jacksonville State","25","Southern Miss -4.5","DraftKings","55.5","-4.5","-2.5","","-192","160"
"401762478","Memphis","45","Tulsa","7","Memphis -21","DraftKings","54.5","-21","-21","","-1650","950"
"401752734","Missouri","24","Alabama","27","Alabama -3","DraftKings","50.5","3","6.5","","130","-155"
"401762835","Bowling Green","28","Toledo","23","Toledo -10.5","DraftKings","45.5","10.5","7","","320","-410"
"401762836","Eastern Michigan","16","Northern Illinois","10","Northern Illinois -1.5","DraftKings","48.5","1.5","-1.5","","-102","-118"
"401762837","Kent State","42","Massachusetts","6","Kent State -1.5","DraftKings","49.5","-1.5","-3","","-115","-105"
"401762485","UTSA","61","Rice","13","UTSA -8.5","DraftKings","48.5","-8.5","-10.5","","-340","270"
"401752941","Oregon State","45","Lafayette","13","Oregon State -21","DraftKings","56.5","-21","","","-2100","1100"
"401754567","Stanford","20","Florida State","13","Florida State -17.5","DraftKings","55.5","17.5","16.5","","575","-850"
"401757287","Delaware","31","Middle Tennessee","28","Delaware -8.5","DraftKings","55.5","-8.5","-10.5","","-345","275"
"401757288","New Mexico State","17","Missouri State","24","Missouri State -2.5","DraftKings","51.5","2.5","1.5","","114","-135"
"401761634","Georgia State","31","South Alabama","38","South Alabama -6","DraftKings","53.5","6","6.5","","185","-225"
"401762492","Charlotte","20","North Texas","54","North Texas -25.5","DraftKings","60.5","25.5","27.5","","1300","-2800"
"401752772","Texas A&M","31","South Carolina","30","Texas A&M -16.5","DraftKings","49.5","-16.5","-18.5","","-900","600"
"401752769","Ole Miss","34","Florida","24","Ole Miss -10.5","DraftKings","53.5","-10.5","-7.5","","-440","340"
"401752900","Ohio State","48","UCLA","10","Ohio State -33.5","DraftKings","46.5","-33.5","-31.5","","-6500","2000"
"401752770","Missouri","49","Mississippi State","27","Missouri -7.5","DraftKings","50.5","-7.5","","50.5","-278","225"
"401762791","Wisconsin","17","Miami (OH)","0","Wisconsin -17.5","DraftKings","40.5","-17.5","-17.5","40.5","-1100","700"
"401754374","Wake Forest","10","Kennesaw State","9","Wake Forest -17.5","DraftKings","51.5","-17.5","-17.5","51.5","-1000","650"
"401760383","Fresno State","20","Nevada","17","Fresno State -12.5","DraftKings","45.5","-12.5","-15.5","","-520","390"
"401754559","Florida State","31","Pittsburgh","34","Florida State -10.5","DraftKings","56.5","-10.5","-8.5","","-410","320"
"401752864","Minnesota","27","Purdue","20","Minnesota -7.5","DraftKings","49.5","-7.5","-10.5","","-298","240"
"401761641","UL Monroe","6","Old Dominion","31","Old Dominion -16.5","DraftKings","55.5","16.5","14","","575","-850"
"401752696","Alabama","38","Wisconsin","14","Alabama -17.5","DraftKings","45.5","-17.5","","","-1200","750"
"401752856","Michigan","24","Wisconsin","10","Michigan -17.5","DraftKings","42.5","-17.5","-16.5","","-800","550"
"401762479","Temple","27","UTSA","21","UTSA -6.5","DraftKings","58.5","6.5","6.5","","205","-250"
"401762873","Northern Illinois","14","Miami (OH)","25","Miami (OH) -4.5","DraftKings","38.5","4.5","1.5","","160","-192"
"401762833","Akron","7","Miami (OH)","20","Miami (OH) -11.5","DraftKings","47.5","11.5","9.5","","350","-455"
"401762852","Ohio","24","Miami (OH)","20","Ohio -2.5","DraftKings","50.5","-2.5","-3.5","","-148","124"
"401761589","Charlotte","11","App State","34","App State -8.5","DraftKings","53.5","8.5","8.5","53.5","260","-325"
"401761607","Southern Miss","38","App State","22","App State -3","DraftKings","55.5","3","","","130","-155"
"401762475","South Florida","54","Charlotte","26","South Florida -27.5","DraftKings","54.5","-27.5","-26.5","","-5000","1800"
"401752736","Texas","23","Oklahoma","6","Texas -2.5","DraftKings","44.5","-2.5","-9.5","","-142","120"
"401761626","Marshall","48","Old Dominion","24","Old Dominion -14.5","DraftKings","57.5","14.5","12.5","","440","-600"
"401762484","Temple","31","Navy","32","Navy -10","DraftKings","52.5","10","9.5","","280","-355"
"401752869","Wisconsin","0","Iowa","37","Iowa -5.5","DraftKings","37.5","5.5","2.5","","190","-230"
"401760391","Wyoming","35","San José State","28","San José State -1.5","DraftKings","50.5","1.5","1.5","","102","-122"
"401760358","San José State","14","Central Michigan","16","San José State -11.5","DraftKings","50.5","-11.5","-11.5","50.5","-425","330"
"401762850","Western Michigan","24","Central Michigan","21","Western Michigan -6","DraftKings","43.5","-6","-6","","-205","170"
"401761604","Coastal Carolina","0","East Carolina","38","East Carolina -7","DraftKings","57.5","7","","","220","-270"
"401756914","TCU","35","Colorado","21","TCU -13.5","DraftKings","57.5","-13.5","-13.5","","-550","410"
"401754566","Duke","18","Georgia Tech","27","Duke -3.5","DraftKings","60.5","-3.5","1.5","","-175","145"
"401757277","UTEP","8","Liberty","19","Liberty -1.5","DraftKings","46.5","1.5","3","","105","-125"
"401761622","Georgia Southern","35","Southern Miss","38","Southern Miss -3","DraftKings","59.5","3","1.5","","120","-142"
"401752733","Ole Miss","24","Washington State","21","Ole Miss -33.5","DraftKings","58.5","-33.5","-32.5","","",""
"401757285","Florida International","26","Kennesaw State","45","Kennesaw State -3","DraftKings","48.5","3","1.5","","130","-155"
"401757169","UConn","31","Ball State","25","UConn -21","DraftKings","53.5","-21","-18.5","","-1800","1000"
"401752803","Tulane","23","Northwestern","3","Tulane -6.5","DraftKings","47.5","-6.5","-6.5","47.5","-245","200"
