"home","away","margin","week","site","FBS","home_conf","away_conf","home_AP","away_AP"
"KSU","ISU",-3,1,1,1,"BIG12","BIG12",17,22
"UNLV","IDST",7,1,1,0,"MTNWEST",NA,NA,NA
"KU","FRES",24,1,1,1,"BIG12","MTNWEST",NA,NA
"WKU","SHSU",17,1,1,1,"cUSA","cUSA",NA,NA
"HAW","STAN",3,1,1,1,"MTNWEST","ACC",NA,NA
"USF","BOIS",27,1,1,1,"AMERICAN","MTNWEST",NA,25
"RUTG","OHIO",3,1,1,1,"BIG10","MAC",NA,NA
"BGSU","LAF",19,1,1,0,"MAC",NA,NA,NA
"NCSU","ECU",7,1,1,1,"ACC","AMERICAN",NA,NA
"UCF","JVST",7,1,1,1,"BIG12","cUSA",NA,NA
"DEL","DSU",18,1,1,0,"cUSA",NA,NA,NA
"ULM","SFPA",29,1,1,0,"SUNBELT",NA,NA,NA
"AKR","WYO",-10,1,1,1,"MAC","MTNWEST",NA,NA
"MIZ","CARK",55,1,1,0,"SEC",NA,NA,NA
"DUKE","ELON",28,1,1,0,"ACC",NA,NA,NA
"OKST","UTM",20,1,1,0,"BIG12",NA,NA,NA
"MINN","BUFF",13,1,1,1,"BIG10","MAC",NA,NA
"HOU","SFA",27,1,1,0,"BIG12",NA,NA,NA
"UAB","ALST",10,1,1,0,"AMERICAN",NA,NA,NA
"CIN","NEB",-3,1,1,1,"BIG12","BIG10",NA,NA
"WIS","M-OH",17,1,1,1,"BIG10","MAC",NA,NA
"SDSU","STBK",42,1,1,0,"MTNWEST",NA,NA,NA
"ILL","WIU",49,1,1,0,"BIG10",NA,12,NA
"ARMY","TAR",-3,1,1,0,"AMERICAN",NA,NA,NA
"MSU","WMU",17,1,1,1,"BIG10","MAC",NA,NA
"WAKE","KENN",1,1,1,1,"ACC","cUSA",NA,NA
"CLT","APP",-23,1,1,0,"AMERICAN",NA,NA,NA
"KU","WAG",39,1,1,0,"BIG12",NA,NA,NA
"BAY","AUB",-14,1,1,1,"BIG12","SEC",NA,NA
"COLO","GT",-7,1,1,1,"BIG12","ACC",NA,NA
"FIU","BCU",33,1,1,0,"cUSA",NA,NA,NA
"SHSU","UNLV",-17,1,1,1,"cUSA","MTNWEST",NA,NA
"SJSU","CMU",-2,1,1,1,"MTNWEST","MAC",NA,NA
"OSU","TEX",7,1,1,1,"BIG10","SEC",3,1
"PSU","NEV",35,1,1,1,"BIG10","MTNWEST",2,NA
"CLEM","LSU",-7,1,1,1,"ACC","SEC",4,9
"UGA","MRSH",38,1,1,1,"SEC","SUNBELT",5,NA
"ORE","MTST",46,1,1,0,"BIG10",NA,7,NA
"FSU","ALA",14,1,1,1,"ACC","SEC",NA,8
"ASU","NAU",19,1,1,0,"BIG12",NA,11,NA
"MICH","UNM",17,1,1,1,"BIG10","MTNWEST",14,NA
"FLA","LIU",55,1,1,0,"SEC",NA,15,NA
"SMU","ETAM",29,1,1,0,"ACC",NA,16,NA
"KSU","UND",3,1,1,0,"BIG12",NA,17,NA
"OU","ILST",32,1,1,0,"SEC",NA,18,NA
"TA&M","UTSA",18,1,1,1,"SEC","AMERICAN",19,NA
"IU","ODU",13,1,1,1,"BIG10","SUNBELT",20,NA
"MISS","GAST",56,1,1,1,"SEC","SUNBELT",21,NA
"ISU","SDAK",48,1,1,0,"BIG12",NA,22,NA
"TTU","UAPB",60,1,1,0,"BIG12",NA,23,NA
"TENN","SYR",19,1,1,1,"SEC","ACC",24,NA
"USM","MSST",-17,1,1,1,"SUNBELT","SEC",NA,NA
"MD","FAU",32,1,1,1,"BIG10","AMERICAN",NA,NA
"PUR","BALL",31,1,1,1,"BIG10","MAC",NA,NA
"TULN","NU",20,1,1,1,"AMERICAN","BIG10",NA,NA
"PITT","DUQ",52,1,1,0,"ACC",NA,NA,NA
"NAVY","VMI",45,1,1,0,"AMERICAN",NA,NA,NA
"KENT","MRMK",4,1,1,0,"MAC",NA,NA,NA
"UK","TOL",8,1,1,1,"SEC","MAC",NA,NA
"BC","FOR",56,1,1,0,"ACC",NA,NA,NA
"WVU","RMU",42,1,1,0,"BIG12",NA,NA,NA
"CONN","CCSU",46,1,1,0,"ind",NA,NA,NA
"LOU","EKU",34,1,1,0,"ACC",NA,NA,NA
"AFA","BUCK",36,1,1,0,"MTNWEST",NA,NA,NA
"MASS","TEM",-32,1,1,1,"ind","AMERICAN",NA,NA
